Title,Release Year,Genre,Rating,Summary
Rebound,1974,Sport,0,Add a Plot
Smatch,1974,Sport,0,Add a Plot
Spasim,1974,"Action, Sci-Fi",0,Add a Plot
Speed Race,1974,Sport,6.2,Add a Plot
Super Pong,1974,Sport,0,Add a Plot
TV Basketball,1974,Sport,0,Add a Plot
TV Goalee,1974,Sport,0,Add a Plot
TV-Joker,1974,Sport,0,Add a Plot
Tank II,1974,"Action, Family",0,Add a Plot
Trak 10,1974,Sport,0,Add a Plot
Twin Racer,1974,Sport,0,Add a Plot
Wham Bam,1974,Sport,0,Add a Plot
Volleyball,1974,Sport,0,Add a Plot
VideoSport MK2,1974,Sport,0,Add a Plot
Odyssee 5887-05-01,1974,Sport,0,Add a Plot
Airfight,1974,NA,0,Add a Plot
Home TV Game,1974,Sport,0,Add a Plot
Super Star Trek,1974,Sci-Fi,0,An updated version of Star Trek (1971). The aim of the game is still to destroy the Klingon ships within a time limit.
Wild Gunman,1974,"Action, Western",6,Nintendo's first person full motion video light gun shooter arcade set in the Wild West. Take down four gunslingers when you see the white of their eyes glowing.
Shark Jaws,1975,"Action, Thriller",6.6,Player controls a deep-sea diver trying to catch small fish while avoiding a great white shark that is trying to eat him.
Airace,1975,Action,0,Add a Plot
Airflight,1975,Action,0,Add a Plot
Anti-Aircraft,1975,Action,0,Add a Plot
Avenger,1975,Action,0,Add a Plot
Dungeon,1975,Fantasy,8.1,Add a Plot
Gun Fight,1975,"Action, Western",5.6,Add a Plot
dnd,1975,Fantasy,8,"dnd, or The Game of Dungeons, is a terminal-access CRPG originally hosted on the PLATO network, and as of 2004 has been hosted on the Cyber1 network in an emulated form. Like pedit5 (1975),                "
pedit5,1975,Fantasy,0,Pedit5 or The Dungeon is a contender to being the first RPG computer game. The player explores a predefined dungeon of 40+ rooms in which random monsters wander that can be killed and                 
Aztec TV Cocktail Table,1975,Sport,0,Add a Plot
Balloon Gun,1975,Action,0,Add a Plot
Biplane,1975,Action,0,Add a Plot
Bullet Mark,1975,Action,0,Add a Plot
Combo,1975,Sport,0,Add a Plot
Combo 3,1975,NA,0,Add a Plot
Crash 'n Score,1975,Action,0,Add a Plot
Crossfire,1975,NA,0,Add a Plot
Dawg Race,1975,Family,0,Add a Plot
Destruction Derby,1975,Action,5.7,Add a Plot
Drop Zone 4,1975,Action,0,Add a Plot
Dual,1975,Sport,0,Add a Plot
Duck Shoot,1975,Action,0,Add a Plot
EVR Race,1975,Sport,0,Add a Plot
Electromotion IV,1975,NA,0,Add a Plot
Erase,1975,NA,0,Add a Plot
Fire Power,1975,Action,0,Add a Plot
Flim-Flam II,1975,Sport,0,Add a Plot
Fütsball,1975,Sport,0,Add a Plot
Goal/4,1975,Sport,0,Add a Plot
Heavy Traffic,1975,Action,0,Add a Plot
Hi-way,1975,Action,0,Add a Plot
Inca TV Cocktail Table,1975,Sport,0,Add a Plot
Indy 800,1975,Action,0,Add a Plot
Jet Fighter,1975,Action,0,Add a Plot
Knock Out,1975,Sport,0,"Also known as Punch-Out!!, it's a boxing arcade game by Nintendo, released in December 1983. An arcade sequel known as Super Punch-Out!!, A popular version for the NES known as Mike Tyson's Punch-Out!!, and Super Punch-Out!. for the SNES."
Last Inning,1975,Sport,0,Add a Plot
Maneater,1975,"Action, Thriller",0,Add a Plot
Model 474,1975,Sport,0,Add a Plot
Moria,1975,Fantasy,8,Add a Plot
Panther,1975,Action,0,Add a Plot
Pursuit,1975,"Action, War",0,Add a Plot
Racer,1975,Action,0,Add a Plot
Racing,1975,Action,0,Add a Plot
Ric-O-Chet,1975,Sport,0,Add a Plot
Robot,1975,Sport,0,Add a Plot
Scramble,1975,NA,0,Add a Plot
Shark,1975,Action,0,Add a Plot
Ski,1975,Sport,0,Add a Plot
Slam,1975,Sport,0,Add a Plot
Sportarama,1975,Sport,0,Add a Plot
Steeplechase,1975,Sport,2.8,This is a hurdles horse race.
Stock-Car,1975,Action,0,Add a Plot
Street Burners,1975,Action,0,Add a Plot
Super Flipper,1975,Family,0,Add a Plot
Super UBI Cocktail Table,1975,Sport,0,Add a Plot
Survival,1975,NA,0,Add a Plot
TV Flipper,1975,Family,0,Add a Plot
TV Pinball,1975,Family,0,Add a Plot
Take Five,1975,"Family, Sport",0,Add a Plot
Take Seven,1975,"Family, Sport",0,Add a Plot
Tankers,1975,Action,0,Add a Plot
"Tennis, Soccer, Hockey Cocktail Table",1975,Sport,0,Add a Plot
Trivia,1975,Game-Show,0,Add a Plot
UFO Chase,1975,"Action, Sci-Fi",0,Add a Plot
Video Pool,1975,Sport,0,Add a Plot
Wheels,1975,Action,0,Add a Plot
Combat,1975,Action,6.6,Add a Plot
Odyssey 100,1975,Sport,0,Add a Plot
Odyssey 200,1975,Sport,0,Add a Plot
Telespel,1975,Sport,0,Add a Plot
Television Tennis,1975,Sport,0,Add a Plot
3-D Tic-Tac-Toe,1975,Family,0,Add a Plot
Acey Ducey,1975,Family,0,Add a Plot
Amazing,1975,Family,0,Add a Plot
Animal,1975,Family,0,Add a Plot
Awari,1975,Family,0,Add a Plot
Banner,1975,Family,0,Add a Plot
Basketball,1975,Sport,0,Add a Plot
Batnum,1975,Family,0,Add a Plot
Battle,1975,Family,0,Add a Plot
Blackjack,1975,NA,0,Add a Plot
Bombardment,1975,NA,0,Add a Plot
Bombs Away,1975,War,0,Add a Plot
Bounce,1975,Family,0,Add a Plot
Bowling,1975,Sport,0,Add a Plot
Boxing,1975,Sport,0,Add a Plot
Bug,1975,Sport,0,Add a Plot
Build-Up,1975,Family,0,Add a Plot
Bullfight,1975,NA,0,Add a Plot
Bullseye,1975,Family,0,Add a Plot
Bunny,1975,Family,0,Add a Plot
Buzzword,1975,Family,0,Add a Plot
Change,1975,Family,0,Add a Plot
Checkers,1975,Family,0,Add a Plot
Chemist,1975,Family,0,Add a Plot
Chief,1975,Family,0,Add a Plot
Chomp,1975,Family,0,Add a Plot
Civil War,1975,War,0,Add a Plot
Combat,1975,NA,0,Add a Plot
Craps,1975,Family,0,Add a Plot
Cube,1975,Family,0,Add a Plot
Diamond,1975,Family,0,Add a Plot
Digits,1975,Family,0,Add a Plot
Even Wins,1975,Family,0,Add a Plot
Flip Flop,1975,Family,0,Add a Plot
Football,1975,Sport,0,Add a Plot
Fur Trader,1975,Family,0,Add a Plot
Golf,1975,Sport,0,Add a Plot
Gomoko,1975,Family,0,Add a Plot
Guess,1975,Family,0,Add a Plot
Gunner,1975,NA,0,Add a Plot
Hangman,1975,Family,0,Add a Plot
Hexapawn,1975,Family,0,Add a Plot
Hi-Lo,1975,Family,0,Add a Plot
High I-Q,1975,Family,0,Add a Plot
Hockey,1975,Sport,0,Add a Plot
Horserace,1975,Sport,0,Add a Plot
Hurkle,1975,Family,0,Add a Plot
Kinema,1975,Family,0,Add a Plot
King,1975,Family,0,Add a Plot
Letter,1975,Family,0,Add a Plot
Life,1975,Family,0,An implementation of Conway's Game of Life for the Altair 8800.
Life for Two,1975,Family,0,Add a Plot
Literature Quiz,1975,Family,0,Add a Plot
Nicomachus,1975,Family,0,Add a Plot
Number,1975,Family,0,Add a Plot
Olympic,1975,Sport,0,Add a Plot
One Check,1975,Family,0,Add a Plot
Orbit,1975,Sci-Fi,0,Add a Plot
Ping-O-Tronic,1975,Sport,0,Add a Plot
Pizza,1975,Family,0,Add a Plot
Poker,1975,NA,0,Add a Plot
Queen,1975,NA,0,Add a Plot
Rally,1975,Sport,0,Add a Plot
Reverse,1975,Family,0,Add a Plot
"Rock, Scissors, Paper",1975,Family,0,"Did you know you can make all kinds of cool things using just your hands and your imagination? Join Tobee and Caitie as they show you how to sing a super fun finger play song, Rock Scissors Paper!"
Roulette,1975,NA,0,A simulation of the casino gambling game of the same name. The game is written in BASIC. The player can bet on a number and hope the result comes up.
Russian Roulette,1975,NA,0,Add a Plot
Salvo,1975,NA,0,Add a Plot
Slalom,1975,Sport,0,Add a Plot
Slots,1975,NA,0,Add a Plot
Splat,1975,Family,0,Add a Plot
Stars,1975,Family,0,Add a Plot
Stock Market,1975,NA,0,"Economist Robert Merton, Nobel Prize Winner in 1997, reveals to us the mechanisms of the stock market and financial economy. A journey into the complex world of finance and the stock market                "
Synonym,1975,Family,0,Add a Plot
Target,1975,Sci-Fi,0,Add a Plot
Tic Tac Toe,1975,Family,4,A digital version of the classic pen and paper game.
Tower,1975,Family,0,Add a Plot
Train,1975,Family,0,Add a Plot
