Title,Release Year,Genre,Rating,Summary
Rambo,2008,Action,6.4,Add a Plot
Monopoly Here & Now: The World Edition,2008,Family,6.8,Add a Plot
Gwen the Magic Nanny,2008,Adventure,0,Add a Plot
Shikitei,2008,Family,0,Add a Plot
Supersonic Acrobatic Rocket-Powered Battle-Cars,2008,Sport,7,Add a Plot
Mega Man 9,2008,Action,7.4,"Mega Man must stop eight robots set for scrapping, whom Dr. Wily has convinced to revolt."
EverQuest: Seeds of Destruction,2008,Action,0,Add a Plot
Siren: Blood Curse,2008,"Horror, Mystery, Thriller",7,"Augsust 3, 2007 - the day an American camera crew went missing in a Japanese mountainside area. Prior to disappearance, the crew was investigating Hanuda, a village that vanished in 1976."
Priston Tale 2,2008,Fantasy,0,Add a Plot
The Last Guy,2008,Adventure,5.9,A dangerous monster called the mountain zombie from out of space produced a purple light turning everyone out side into a monster or a zombie. In the game you are a mutant from himilayas                 
Time Hollow,2008,"Adventure, Drama, Sci-Fi",7.4,Add a Plot
Sins of a Solar Empire,2008,"Action, Sci-Fi",7.8,Add a Plot
AdventureQuest Worlds,2008,Fantasy,6.4,"Enter Lore and join the battle against Chaos. Level up, battle monsters, enhance your character, customize your look and go on missions. The adventure never ends!"
Virgin Galactic SpaceShipTwo Flight Simulator,2008,NA,0,Add a Plot
MadStone,2008,NA,0,Add a Plot
Song Summoner: The Unsung Heroes,2008,Action,0,Add a Plot
Penny Arcade Adventures: On the Rain-Slick Precipice of Darkness,2008,"Action, Adventure, Comedy",6.4,Add a Plot
NBA Live 09,2008,Sport,6.5,Add a Plot
Brain Quest Grades 3 & 4,2008,NA,0,Add a Plot
Brain Quest Grades 5 & 6,2008,NA,0,Add a Plot
Duel Love: Koisuru otome wa shouri no megami,2008,Romance,0,Add a Plot
Plättchen Twist 'n' Paint,2008,NA,0,Add a Plot
Playstation Home,2008,NA,6,PlayStation Home was a virtual 3D social gaming platform developed by Sony Computer Entertainment's London Studio for the PlayStation 3 on the PlayStation Network. It was accessible from                 
Ninja Reflex,2008,Action,0,Add a Plot
"Nancy Drew Dossier: Lights, Camera, Curses!",2008,"Adventure, Mystery",7.9,Teen detective Nancy Drew investigates sabotage on the set of a Hollywood film.
Edna bricht aus,2008,Adventure,7.8,Accompany young Edna and her talking stuffed bunny Harvey on a whacky attempt to escape from her padded cell. Experience a bizarre journey all across the insane asylum and far beyond its brick walls.
Tale of a Hero,2008,Adventure,0,Add a Plot
Patapon 2,2008,"Action, Music",7.4,Add a Plot
Jawa: Manmosu to himitsu no ishi,2008,Adventure,0,Add a Plot
My Little Pony: Pinkie Pie's Party,2008,NA,7.9,Add a Plot
Double D Dodgeball,2008,Sport,0,Add a Plot
Spore,2008,"Action, Adventure, Family",6.8,"From microbe to intergalactic life form, decide the fate of a species of your creation. Evolve through five main stages of life."
Spore: Creepy & Cute,2008,Fantasy,4.8,Add a Plot
Assassin's Creed: Altaïr's Chronicles,2008,"Action, Adventure, History",6.6,"In the year 1190, The Holy Crusades have engulfed the Middle East. In an attempt to unite the lands and end The Third Crusade, Master Assassin Altair Ibn-La' Ahad must search for an artifact known as The Chalice, will he succeed?"
Dr. Mario Online Rx,2008,Action,5.8,"Dr. Mario is back to cure you of your puzzle games needs in an all new game, featuring a new mode call virus buster."
Novastrike,2008,Action,0,Add a Plot
Rocketmen: Axis of Evil,2008,NA,0,Add a Plot
Love Hunter Shizuru,2008,Romance,0,Add a Plot
PixelJunk Monsters,2008,NA,6.2,Add a Plot
A Little Bit of... Dr. Mario,2008,"Animation, Family, Musical",5.9,Dr. Mario's back and ready to eliminate pesky viruses in an all new portable puzzle game for your DSI.
Rubik's Puzzle World,2008,Action,0,Add a Plot
Super Obama World,2008,NA,0,Add a Plot
Cory in the House,2008,"Comedy, Family",8.1,"Cory in the House is an adventure game that requires the player to play as Cory Baxter, a teenager who lives with his father Victor Baxter after Victor gets accepted as head chef at The                 "
Bird & Beans,2008,Action,0,Add a Plot
Paper Airplane Chase,2008,NA,0,Add a Plot
Shaun White Snowboarding,2008,Sport,5.4,Add a Plot
Iron Grip: Warlord,2008,Action,0,Add a Plot
TouchMaster 2,2008,NA,0,Add a Plot
Rogue Mercenary,2008,NA,0,Add a Plot
World of Goo,2008,Comedy,7.5,"World of Goo is a physics based puzzle / construction game. You must explore 5 islands and construct jiggly architecture, bridges, straightaways, makeshift high-rises, and transport all of the goo balls to the World of Goo Corporation."
Zero no tsukaima: Maigo no piriodo to ikusen no shinfonî,2008,Adventure,0,Add a Plot
Dynasty Warriors: Gundam 2,2008,"Action, Sci-Fi, War",7.1,The second Dynasty Warriors Gundam game in the series.
Little League World Series Baseball 2008,2008,NA,0,Add a Plot
Dancing with the Stars: We Dance!,2008,Game-Show,0,Add a Plot
Dora the Explorer: Dora Saves the Snow Princess,2008,"Adventure, Family",0,Add a Plot
Defense Grid: The Awakening,2008,"Animation, Action, Adventure",7.2,Add a Plot
LostWinds,2008,Adventure,6.3,A young boy named Toku is given control over the power of wind by the spirit Enril and sets off to break the curse set on the land of Mistralis by the evil Balasar.
Chex Quest 3,2008,"Action, Adventure, Comedy",7.8,"Ten years after the Chex Warrior zorched the last Flemoid from Chextropolis, a huge rift has opened in space, sending a giant slime-asteroid plunging toward the vital cereal-producing planet Ralston."
Neon Tango,2008,Action,0,Zoom through vector-based arenas blasting geometric shapes and wire-frame beasts in this intense and beautiful top-down shooter from the makers of WingNuts.
Dr. Lynch: Grave Secrets,2008,"Adventure, Crime, Mystery",0,Hidden object adventure about professional debunker Dr. Ignatius Lynch and his assistant Overly who travel to UK countryside to investigate the sighting of a ghost near an archaeological digsite. Murder occurs and everyone's a suspect.
Women's Murder Club: Death in Scarlet,2008,"Adventure, Crime, Mystery",0,"First entry in the Women's Murder Club ""hidden object"" adventure game series based on the eponymous book and TV crime series. Murder of a Jane Doe leads detective Lindsay Boxer to a local Chinese secret society tied to a slavery ring."
Animal Boxing,2008,Sport,0,Animal Boxing is a video game for the Nintendo DS and on DSiWare. The game involves boxing with over 50 various animals by using the touchscreen; the game is played with the DS held upside                 
Imagine: Champion Rider,2008,Sport,0,"Embark on a great equestrian adventure in the wide open spaces. Enter competitions on your dream horse, care for the animals on your uncle's ranch and rescue wild mustangs roaming the wilderness."
Suikoden Tierkreis,2008,Fantasy,7.5,Add a Plot
Stronghold Crusader Extreme,2008,"History, War",7.5,Expanded version of Stronghold: Crusader.
The Game,2008,Comedy,0,Add a Plot
Insecticide,2008,"Action, Adventure, Crime",4.6,Add a Plot
Monochro Observer,2008,NA,0,Add a Plot
My Japanese Coach,2008,Family,0,Learn Japanese the fun way using the Nintendo DS.
Rock Band 2,2008,Music,8.1,"Simulating the experience of performing in a band, Rock Band 2 allows up to four players to use remotes modeled after microphones, guitars, bass guitars, and drums to engage with their favourite songs."
Golf: Tee It Up!,2008,Sport,0,Add a Plot
RefleX,2008,Action,0,Add a Plot
Naruto: Ultimate Ninja Storm,2008,"Animation, Action, Adventure",7,"Years, ago Nine Tails a demonic fox destroyed the Leaf Village. The Fourth Hokage sacrificed himself and sealed the Nine Tails inside a boy, Uzumaki Naruto. When Naruto grew up the village                 "
WWII Aces,2008,Action,0,Add a Plot
North American Hunting Extravaganza,2008,Action,0,Add a Plot
Candace Kane's Candy Factory,2008,Action,0,Add a Plot
Naruto: Clash of Ninja Revolution 2,2008,Adventure,6.4,Add a Plot
Naruto: The Broken Bond,2008,Adventure,7.5,Add a Plot
Star Ocean: Second Evolution,2008,"Action, Fantasy",7.2,Add a Plot
Blaming Tim's Relapse Adventure,2008,"Adventure, Horror, Music",0,"Rock band Blaming Tim is about to do a show in Relapse Theatre, where several rock bands have gone missing. A special police unit is monitoring the event. The band is a real life rock band from Atlanta. The game is inspired by Night Trap."
Nancy Drew: The Mystery of the Clue Bender Society,2008,Mystery,0,Add a Plot
All Star Cheer Squad,2008,NA,0,"All Star Cheer revolves around player's attempts to make the 'Fox Squad' cheer roster. Although a top squad, they have suffered a tough setback when one of their top captains has been                 "
Kung Fu Panda: Legendary Warriors,2008,Adventure,6.9,Add a Plot
The Last Stand 2,2008,"Action, Adventure, Horror",8.4,You have to make it to Union City in 40 days and nights while defending yourself from zombies.
DROD RPG: Tendry's Tale,2008,Adventure,0,Add a Plot
Gorillas,2008,Adventure,0,Add a Plot
Rasuto esukôto 2: Shin'ya no amai toge,2008,Romance,0,Add a Plot
The Sims DJ,2008,NA,0,Add a Plot
Togainu no chi: True Blood,2008,NA,0,Add a Plot
Skyjacker,2008,Sci-Fi,0,Add a Plot
Kanuchi: Shiroki tsubasa no shou,2008,Adventure,0,Add a Plot
Cross Edge,2008,Action,0,"The game features turn-based battles, a plot that involves rescuing souls, and the ability to dress the female characters of the player's party in a wide variety of outfits."
Crimson Gem Saga,2008,NA,0,Add a Plot
Yggdra Union: We'll Never Fight Alone,2008,NA,0,Add a Plot
Age of Empires: Mythologies,2008,"Action, Adventure, Fantasy",7.6,Add a Plot
Glory Days Attack Hero,2008,Action,0,Add a Plot
Horse Life Amis pour la Vie,2008,Action,0,Add a Plot
Touch Mechanic,2008,Action,0,Add a Plot
Ellen Whitaker's Horse Life,2008,Action,0,Add a Plot
Code Lyoko Fall of Xana,2008,Action,8.2,Add a Plot
Code Lyoko Quest for Infinity,2008,Action,8,"Help Jeremy, Ulrich, Yumi, Odd an Aelita to destroy X.A.N.A and rescue William!"
SNK Arcade Classics Volume 1,2008,Action,6.8,Add a Plot
Namco Museum Virtual Arcade,2008,NA,0,"A collection of 34 Namco arcade hits, now on Xbox 360."
The King of Fighters Collection: The Orochi Saga,2008,"Action, Adventure, Fantasy",7.1,This is a collection that features five different games from the King of Fighters series. It includes the Orochi Saga trilogy ('95 - '97) as well as KOF '94 and KOF '98.
Kurimuzon enpaia,2008,NA,0,Add a Plot
Return to Dark Castle,2008,"Adventure, Fantasy",0,Add a Plot
Super Street Fighter II Turbo HD Remix,2008,"Action, Crime, Fantasy",7.1,"All new 1080p high-definition art for Street Fighter characters and backgrounds created by Udon Entertainment, creators of the Street Fighter comic booksFeatures all 17 of the original"
DS Dengeki bunko ADV: Bakkâno!,2008,Adventure,0,Add a Plot
The Lord of the Rings Online: Mines of Moria,2008,Fantasy,7.4,Add a Plot
Ah.. Moemory,2008,Action,0,Add a Plot
Dirt Bike Maniacs,2008,Adventure,0,"Racing game featuring 8 people, 8 bikes and 7 different environments. It can be played race or freestyle."
Crazy Night Out,2008,Comedy,0,Add a Plot
Wild West Guns,2008,Western,0,Add a Plot
Tales of Hearts,2008,NA,9.2,"Tales of Hearts is a Japanese role-playing game released for the Nintendo DS in Japan and the PlayStation Vita worldwide. It is the eleventh main entry in the Tales series, developed by                 "
Cosmic Break,2008,Action,0,Add a Plot
Call of Duty: World at War - Final Fronts,2008,"Action, Adventure, Horror",6.4,"This game has has 13 missions involving the U.S. fighting in the Pacific theater and the Battle of the Bulge in Europe, as well as the British advancing on the Rhine River into Germany."
Metal Slug 7,2008,Action,7.5,"Marco, Tarma, Eri, and Fio have tracked down General Morden and his forces to a giant island landfill that has been converted into a military fortress. But the mission won't be easy, as a                 "
Off,2008,"Action, Fantasy, Mystery",8.6,"In ""OFF"" you take control of a mysterious person called ""The Batter"". The Batter, and yourself as his controller, are dropped off in zone 0 in an unknown world about which you slowly find out more and more in the process of the game."
Save the Emo,2008,NA,0,Add a Plot
Rekiken DS,2008,NA,0,Add a Plot
Roogoo,2008,Family,0,Add a Plot
Pirates of the Burning Sea,2008,Adventure,0,Add a Plot
Goosebumps Horrorland,2008,"Action, Fantasy, Horror",8,"When two friends are invited to an amusement park known as horrorland, they realize it's not a typical park and must work their way threw the attractions and escape with their lives."
Adventure Pizza Co,2008,Adventure,0,"The desert? A mountaintop? The moon? Still want pizza? Adventure Pizza Co is there. Playing as the company's star delivery boy, the game follows as you go all sorts of crazy locations, facing all sorts of dangers, just to deliver pizza."
"Cooking Mama: Mama Kills Animals, the Unauthorized PETA Edition",2008,"Fantasy, Horror",2.5,"In this PETA game parody of ""Cooking Mama"", the player has to prepare a thanksgiving dish with a dead turkey, in order to get the ""even meaner than mama"" score from the titular character."
Looney Tunes: Cartoon Conductor,2008,Action,0,"The game starts with Bugs Bunny standing in front of a stage. Bugs explains that the Tasmanian Devil destroyed the classical music in some old Looney Tunes and Merrie Melodies cartoons, so                 "
Pingvin-SM,2008,Comedy,0,Add a Plot
Koishiki menzu esute,2008,NA,0,Add a Plot
Final Fantasy IV: The After Years,2008,"Action, Adventure, Drama",6.9,Add a Plot
Linger in Shadows,2008,Adventure,4.5,"Less a game more an interactive experience showing off the capabilities of the Playstation 3 console. With free ability to move time forward, backward, zoom and rotate your view you travel                 "
Dragon Quest IV: Chapters of the Chosen,2008,"Action, Adventure, Fantasy",6.9,"This game is divided into 6 chapters. The first one, Ragnar is tasked to find the missing children. The second, a tomboy Princess named Alena escapes from her castle with 2 allies for                 "
Fire Emblem: Shadow Dragon,2008,War,6.7,Add a Plot
Mahjong: Eine Reise um die Welt,2008,NA,0,Add a Plot
Super Robot Wars Z,2008,War,0,Add a Plot
Super Robot Wars A Portable,2008,War,0,"The story of SRW A revolves around an organization called the Shadow-Mirror, which exists in a parallel world where events happened in a different way than the original game, thus making the state of the worlds different."
Sonny 2,2008,Horror,0,"Sonny 2 is a combat based RPG where you play as a Zombie, level up and gain items to advance to the next Zone."
Tainted Kingdom,2008,Action,0,A Kingdom named Syron is once the strongest Kingdom in the world.Not until another Kingdom from the unrevealed lands come to the land and invade it.This Kingdom is the strongest one until                 
LightBot,2008,Family,0,"Lightbot is an educational game for kids that introduces several principles of programming. Children will practice concepts like sequence, conditions, and loops without typing or coding. Use problem solving skills to complete the puzzles."
Monster Basement 2,2008,Horror,0,You ascend the monsters basement. What challenges lie ahead will lead you to a frightful experience.
Cooking Mama: World Kitchen,2008,Family,0,The fourth game in the Cooking Mama series sees you creating even more digital dishes alongside Mama herself.
Trauma Center: Under the Knife 2,2008,Drama,7.6,Add a Plot
NBA Ballers: Chosen One,2008,Sport,0,Add a Plot
Neverwinter Nights 2: Storm of Zehir,2008,"Action, Adventure, Fantasy",7,Add a Plot
Buku Soduku,2008,NA,0,Add a Plot
Go! Go! Break Steady,2008,NA,0,Add a Plot
Schizoid,2008,NA,0,Add a Plot
Bionic Commando Rearmed,2008,"Action, Adventure, Sci-Fi",6.1,Add a Plot
Chaos;Head,2008,"Animation, Mystery, Sci-Fi",6.7,A high school student named Takumi Nishijou starts to have delusions after witnessing one of a series of murders. He eventually learns of the existence of people with the power to create                 
Europa Universalis: Rome,2008,History,6.1,"Europa Universalis: Rome is a stand alone game based on the foundations of Europa Universalis III, taking you further back in time and allowing you to play from any date from around 280 B.C                "
Breaking The Bank,2008,"Animation, Comedy, Family",7.3,"How do you think Henry Stickmin should Break the Bank? Laser drill, disguise, explosion, wrecking ball, teleporter, or tunnel?"
MGMT: Electric Feel - Interactive Video,2008,"Short, Music",0,"This interactive web video allows the user to create a video for MGMT's ""Electric Feel"" from the album ""Oracular Spectacular"" recorded for Columbia Records. The game features sequences of                 "
The Naked Brothers Band,2008,Music,0,Add a Plot
Cradle of Rome,2008,NA,0,Add a Plot
BlazBlue: Calamity Trigger,2008,"Action, Fantasy, Sci-Fi",7.4,"Anime-inspired fighting game, and it pretty much nails it."
NHL 2K8,2008,Sport,0,Add a Plot
Golden Balls,2008,"Family, Game-Show",3.3,Spin-off from the popular quiz show. Released for Nintendo Wii and DS.
Cabela's Dangerous Hunts 2009,2008,Adventure,5.3,Add a Plot
Carnival Games: MiniGolf,2008,Sport,6.7,Add a Plot
Prince of Persia: The Fallen King,2008,"Action, Adventure, Fantasy",7.4,Add a Plot
King's Bounty: The Legend,2008,"Action, Adventure, Fantasy",7.7,Add a Plot
SimCity Creator,2008,NA,0,Add a Plot
The Sims: Carnival - SnapCity,2008,NA,0,Add a Plot
Sid Meier's Civilization: Revolution,2008,NA,7.2,Add a Plot
Sid Meier's Civilization IV: Colonization,2008,"Action, Adventure",6.1,Add a Plot
Winx Club: Mission Enchantix,2008,Animation,7,"Bloom, Stella, Flora, Muse, Tecna and Leila begin the school year in Alfea. Bloom dreams a dream in which she sees a mysterious man and herself appears in a new transformation. The next day                "
The Witcher: The Price of Neutrality,2008,"Action, Adventure, Drama",0,Add a Plot
The Witcher: Side Effects,2008,"Action, Adventure, Drama",8.5,Add a Plot
S4 League,2008,NA,0,Add a Plot
UEFA Euro 2008,2008,Sport,6.3,Add a Plot
Jam with the Band,2008,NA,0,Add a Plot
Glory of Heracles,2008,Action,0,Add a Plot
Rhythm Heaven,2008,Music,7.9,Add a Plot
Wagamama Fashion: Girls Mode,2008,NA,0,Add a Plot
Fenimore Fillmore's Revenge,2008,NA,0,Add a Plot
Imperivm Civitas II,2008,NA,0,Add a Plot
Personal Trainer: Cooking,2008,Reality-TV,0,Add a Plot
Edge,2008,Action,7.2,"In this geometric puzzle platformer, a cube must utilize the physics of rolling edge over edge to reach the exit."
Kyuuketsu kitan Mûntaizu,2008,Fantasy,0,Add a Plot
SimCity Societies: Destinations,2008,NA,0,Add a Plot
Hero's Saga Laevatein Tactics,2008,Adventure,0,Add a Plot
"Minna de jibun no setsumeisho: B-gata, A-gata, AB-gata, O-gata",2008,Comedy,0,Add a Plot
"Warhammer 40,000: Dawn of War - Soulstorm",2008,"Action, Fantasy, Sci-Fi",7.4,"This game's plot centres in an imperium of man star system called Kaurava, the system is destabilised by a Warp Maelstrom which plunges the system further into Chaos, Many 'Warhammer 40,000                "
Barbie Horse Adventures: Riding Camp,2008,Adventure,0,Add a Plot
Margot's Word Brain,2008,Game-Show,0,Add a Plot
Wii Music,2008,Music,5.2,"The Mii player can play music however they want, they play on a wide range of musical instruments including piano, flute, guitar, harmonica, drums and other instruments, they can conduct a symphony, play in a rock band and other fun games."
Postman Pat,2008,Adventure,0,Add a Plot
King of Clubs,2008,Sport,0,Add a Plot
Frontlines: Fuel of War,2008,"Action, Sci-Fi, War",7.2,"By 2024, a global energy crisis and a worldwide avian influenza outbreak plague the world. As supplies of oil and natural gas wane, diplomatic relationships between the East and West are strained, causing two new alliances to be formed."
Indiana Jones: DVD Adventure Game,2008,Adventure,0,A board game with interactive DVD elements.
Third Age: Total War,2008,Fantasy,0,Add a Plot
Beetle Ju Gold,2008,NA,0,Add a Plot
Brain Age Express: Math,2008,Family,0,Add a Plot
Brain Age Express: Arts & Letters,2008,NA,0,Add a Plot
Resident Evil 5,2009,"Action, Adventure, Fantasy",7.8,"Sent in by the BSAA, Chris Redfield has a new mission. It takes him into South Africa where he encounters a new horror and relives an old past."
Final Fantasy XIII,2009,"Action, Adventure, Drama",7.2,"In a futuristic city, a group of adventurers must fight the government forces controlled by an alien force to stop its plan to destroy the world."
Halo Wars,2009,"Action, Sci-Fi, War",6.8,"Assisted by a squad of Spartans, the UNSC forces fight to defend the colony world of Harvest from the Covenant, and push them off of the planet."
Dragon Quest IX: Sentinels of the Starry Skies,2009,"Adventure, Family, Fantasy",8.3,"You play as a Celestrian, an angel who falls to the mortal realm on the eve of Yggdrasil's awakening. It's up to you to reclaim Yggdrasil's Fyggs and fulfill the destiny that lies before you."
Les Aventures Du Chevalier Jack,2009,"Adventure, Comedy",0,"It's the first interactive web series in ""FRENCH"" The first episode is FREE on ""le chevalier Jack"" website Silks welcome valiant player !! It is in these places that your road stops! An                 "
Men of War: Red Tide,2009,"Action, War",7.9,A stand-alone add-on to the critically acclaimed hybrid RTS. It introduces a new campaign with a story by Russian-Ukrainian writing duo Alexander Zorich. Game depicts actions of Soviet                 
Flux Family Secrets: The Ripple Effect,2009,Adventure,6.9,Flux Family Secrets: The Ripple Effect is a hidden object puzzle-adventure casual game developed by Skunk Studios. It is the first installment in the Flux Family Secrets series. The game is                
Escape Rosecliff Island,2009,"Adventure, Mystery, Thriller",6,"An unexpected storm has left you shipwrecked on a mysterious and remote private island, Seek and find cleverly hidden objects and solve puzzles to find a way off the island, Can you.. Escape Rosecliff Island ?"
Tropico 3,2009,NA,7,"Become the dictator of a remote island during the Cold War. Charm, persuade, intimidate, oppress, or cheat your people to stay in power. Are you a kind and generous leader? A corrupt and ruthless tyrant ruling with an iron fist?"
Grand Ages: Rome,2009,War,5.6,Add a Plot
Irozuki Chinkuru no Koi no Barûn Torippu,2009,Romance,0,Add a Plot
Grey's Anatomy: The Video Game,2009,"Drama, Romance",6.2,The surgeons of Seattle Grace Hospital are forced to deal with a diphtheria outbreak.
Metal Slug XX,2009,"Action, Adventure",7.1,Add a Plot
Inazuma Irebun 2: Kyoui no Shinryakusha: Fire,2009,Sport,7,Add a Plot
Inazuma Irebun 2: Kyoui no Shinryakusha: Blizzard,2009,Sport,8.4,Add a Plot
Persona 3 Portable,2009,"Action, Adventure, Drama",8.5,"Persona 3 Portable is a remake of the 2006 game for the PlayStation 2 for, as the title implies, the PlayStation Portable. This game let's you for the first time take control of a female                 "
World of Zoo,2009,Family,5,Add a Plot
Littlest Pet Shop: Jungle,2009,"Action, Adventure, Family",0,Wii gameplay revolves around collecting all the pets and amassing the largest. In-game elements cost Kibble Coins. Players can compete in a variety of games to earn Kibble. Besides buying                 
Killzone 2,2009,"Action, Sci-Fi, War",8,"Two years after the Helghast assault on Vekta, the ISA launched an assault on the enemy's home world of Helghan. The ISA goal is to capture the Helghast leader, Emperor Visari, and bring the Helghast war machine to a halt."
For the Game,2009,"Action, Adventure, Fantasy",0,Add a Plot
You Only Live Once,2009,Action,0,Add a Plot
WarioWare: D.I.Y. Showcase,2009,NA,6.8,Add a Plot
Art of Murder: The Secret Files,2009,Adventure,0,Add a Plot
Campfire Legends: The Hookman,2009,"Adventure, Horror, Mystery",0,Christine goes to her parents' remote cabin to spend a romantic weekend with her boyfriend just as a killer begins to terrorize the area.
Aveyond: Lord of Twilight,2009,Adventure,0,Add a Plot
"Time Gentlemen, Please!",2009,"Adventure, Comedy",0,"Point-and-click adventure game. This is the sequel to Ben There, Dan That."
Yuukoku no taisen,2009,Action,0,Add a Plot
Worms 2: Armageddon,2009,"Action, Comedy",5.8,Add a Plot
Bomberman Ultra,2009,Action,8,Add a Plot
Bomberman Blitz,2009,Action,0,Add a Plot
Claymore: Gingan no Majo,2009,Action,0,Add a Plot
Ghostbusters,2009,"Action, Adventure, Comedy",8.4,You play the newest employee of the paranormal investigations and eliminations business as a new wave of Gozer related hauntings plagues New York City.
Saw,2009,"Crime, Horror, Mystery",6.8,"Jigsaw has killed your partner and destroyed your life. Now he has trapped you in an abandoned insane asylum that he alone controls. If you can defeat his brutal traps and survive, you may just discover the truth behind what drives this twisted serial killer."
Painkiller: Resurrection,2009,"Action, Adventure, Fantasy",3.7,"You take the role of William Sherman, a Black Ops specialist and former CIA agent. Bill's last mission went completely wrong and he was killed as were many innocent bystanders. Now he has arrived in purgatory."
MX vs ATV: Reflex,2009,Action,5.2,Add a Plot
Half-Life: Before,2009,"Action, Sci-Fi",3.8,Add a Plot
Brütal Legend,2009,"Action, Adventure, Comedy",7.9,"Eddie Riggs, a roadie, is transported to a fantasy world inspired by the artwork of heavy metal album covers, and becomes the world's savior, leading the down-trodden humans against a range of supernatural overlords."
Wet,2009,"Action, Crime",6.9,Female bounty hunter Rubi Malone faces off against a drug lord named Rupert Pelham.
Defense Alliance 2,2009,Action,0,Add a Plot
Leisure Suit Larry: Box Office Bust,2009,"Adventure, Comedy",2.6,"Larry Lovage's uncle Larry calls upon his assistance at his movie studio, doing odd jobs and trying to uncover a mole from a rival studio who is attempting to sabotage Laffer Studios."
Firey's Candy Bar Adventure,2009,Animation,0,Add a Plot
The Sims 3,2009,Family,7.9,"The Sims returns with a more expanded character creation, and let's you step out of your neighborhood for the first time."
Just Dance,2009,Music,6.7,Add a Plot
N.O.V.A. Near Orbit Vanguard Alliance,2009,"Action, Sci-Fi",7.4,The player takes control of the actions of Kal Wardin who has to stop an alien invasion threatening the very existence of mankind's new home.
Legendary,2009,NA,6,"Deep within the dusty basement of a new York museum lies mythology's most infamous artifact: Pandora's Box. When rouge art thief Charles Deckard is tasked with stealing the box, he                 "
NecroVisioN,2009,"Action, Fantasy, Horror",6.7,"NecroVisioN is set in 1916 during World War I. The player takes the role of Simon Bukner, who soon finds himself fighting supernatural forces, including vampires, demons, and zombies."
NecroVisioN: Lost Company,2009,"Action, Fantasy, Horror",4.4,"Taking place before the first game, Jonas Zimmermann, just a regular guy at that time, is sent to the front lines to find a vaccine to a mysterious disease decimating the troops at the Western Front during World War I."
The Godfather II,2009,"Action, Crime, Drama",7.4,A video game in which players control a new member of the Corleone crime family who is rising through the ranks.
NCAA Basketball 10,2009,Sport,8.6,Add a Plot
Assassin's Creed II,2009,"Action, Adventure, Sci-Fi",9.1,"Desmond Miles is trained to become a modern-day Assassin through the resurrected memories of ancestor Ezio Auditore da Firenze, who uncovers a massive Templar conspiracy in Renaissance Italy leading to the new Pope."
50 Cent: Blood on the Sand,2009,"Action, Adventure, Crime",6.3,"It's set in an urban warzone in an unnamed Middle Eastern country, where 50 Cent and G-Unit involve with a paramilitary group led by the terrorist Kamal."
The Chronicles of Riddick: Assault on Dark Athena,2009,"Action, Adventure, Sci-Fi",8.2,"Featuring a remastered edition of The Chronicles of Riddick: Escape from Butcher Bay (2004), as well as a new full-length campaign, Assault on Dark Athena picks up moments after Riddick's escape."
Wolfenstein,2009,"Action, Adventure, Fantasy",7.4,B.J is sent to Isenstadt to find and retrieve the Thule Medallion and 4 crystals to prevent the Nazis from using it.
Krazy Kart Racing,2009,Sport,0,Add a Plot
Gtttatint,2009,Animation,0,Add a Plot
Prototype,2009,"Action, Adventure, Horror",7.5,"You are Alex Mercer, a shapeshifter with amazing powers of combat, destruction, and deception. Stalk the streets of New York City, searching for the life you lead before. Take the form of anyone in your path out to capture or kill you."
Delaware St. John: The Curse of Midnight Manor,2009,"Horror, Mystery",0,"Delaware St. John is a young man with a gift for seeing the extraordinary. His adventure, this time, leads him to the decrepit remains of an abandoned building, nicknamed Midnight Manor.                 "
OutRun Online Arcade,2009,Sport,0,Add a Plot
Volvo: The Game,2009,NA,0,"Racing game made to advertise the cars of the Swedish company Volvo. Different automobiles of it's history can be driven, mostly racing variants."
"Warhammer 40,000: Dawn of War II",2009,"Action, Fantasy, Sci-Fi",7.8,"In the 41st century Orcs, Eldar and countless other races fight against the Human Imperium with the sole goal to annihilate and eradicate them from the face of the galaxy."
WWE Legends of WrestleMania,2009,Sport,6.3,Add a Plot
Drawn: The Painted Tower,2009,"Adventure, Fantasy",0,Add a Plot
Metroid Prime: Trilogy,2009,"Action, Adventure, Mystery",8.9,"A compilation of Metroid Prime, Metroid Prime 2: Echoes, and Metroid Prime 3 for the Nintendo Wii."
Guitar Hero: Metallica,2009,"Family, Music",7.9,"Guitar Hero: Metallica is the second game of the Guitar Hero series to focus on the career and songs of one band, with support for lead and bass guitar, drums, and vocals."
Blood Bowl,2009,Sport,5.4,Add a Plot
One Piece: Unlimited Cruise Episode 2,2009,"Action, Adventure, Comedy",8.2,Add a Plot
EyePhoneSpy Dogs,2009,Family,0,Add a Plot
Marvel: Ultimate Alliance 2,2009,"Action, Adventure, Fantasy",7.5,Ultimate Alliance 2 features characters from the Marvel universe and follows elements of the Secret War and Civil War story arcs from the comic.
Fallout 3: Operation: Anchorage,2009,"Action, Adventure, Sci-Fi",6.7,This expansion adds four to five hours of war-action stealth gameplay and is presented as an in-game virtual reality simulation set in the fictitious city of Anchorage in Alaska. After                 
Fallout 3: The Pitt,2009,"Action, Adventure, Sci-Fi",7.6,"The fifth and final downloadable expansion for Fallout 3, Mothership Zeta begins with the player picking up a strange radio transmission from the Wastes. The signal leads to a crashed alien                "
